YEAR (start),Date Duration,OperationName,Unit(s) – Description,Location,VC–NVAKIA's,Allied KIA's
1964,Sep 1 – mid 1965,Operation Hop Tap[10],"ARVN operation in an effort to push government control outward from Saigon into the surrounding six provinces of. Forces included the ARVN5th Divisionand the Airborne and Marine Brigades. Two regiments of the ARVN25th Divisionprovided local security along withRegional ForcesandPopular Forces, National Police and hamlet militia","Gia Dinh,Biên Hòa,Bình Dương,Hậu Nghĩa,Long An, andPhước Tuy Provinces",,
1964,Oct 1 – Jun 30 1970,Operation Project Delta[11],Project DELTAoperated country-wide under the direction ofMACVas approved by the South Vietnamese Joint General Staff,throughout South Vietnam,,
1964,Oct 17 – 19,Operation Dan Chi 80[12],ARVN operation,Ba Xuyen Province,123,
1964,Nov 18,Unnamed[13],U.S.-Vietnamese air and ground search for a supposed VC stronghold,Bình DươngandTây Ninh Provinces,,
1964,Dec 14 – Mar 29 1973,Operation Barrel Roll[14][15],"The bombing ofLaosby U.S. forces, to support theRoyal Lao ArmyandCIA-trainedHmong",Laos,,
1964,Dec 27 – 29,Operation Dan Chi 100-50[16],"ARVN operation against the VC 207th, 303rd, 306th, and U Minh I Battalions","15 km east ofSóc Trăng,Ba Xuyen Province",,
1965,1965–72,Operation Footboy[1],"MACVSOGcovert operations in North Vietnam and North Vietnamese waters for the purpose of collecting intelligence, conducting psychological warfare operations, and other activities to create dissension among the populace, and for diversion of North Vietnamese resources",North Vietnam,,
1965,Jan 5,Unnamed[2],Six-companyCIDGandSpecial ForcesA-114 and A-411 Detachments operation,Tây Ninh Province,,
1965,Feb 7–24,Operation Flaming Dart[3],"Phase I (February 7):USAFreprisal bombing attacks against NVA units and military barracks nearĐồng Hớiand theDemilitarized Zone. Phase II (February 11):USAFandVNAFstrike theChanh HoaandVit Thu Lubarracks, respectively, inNorth Vietnam.","Đồng Hới,Demilitarized Zone,Chanh HoaandVit Thu Lu",,8
1965,Mar 2 – Nov 1 1968,Operation Rolling Thunder[4],"USAF,U.S. NavyandVNAFsustained and escalating bombing campaign ofNorth Vietnamto destroy military infrastructure, interdict supply routes and undermine the North's willingness to continue the war",North Vietnam,"20,000 est.",835
1965,Mar 11 – 1972,Operation Market Time[5],Combined U.S. Navy and South Vietnamese Navy effort to stop the flow of supplies from North Vietnam into South Vietnam,South China Sea,,
1965,Mar 31,Operation Quyet Thang 512[6],"ARVN 5th Airborne Battalion,MAG-16,HMM-163andHMM-162air assault","nearTam Ky40 km south ofDa Nang,Quảng Tín Province",,2 US
1965,Apr 3 – Nov 11 1968,Operation Steel Tiger[7](part of Operation Barrell Roll),U.S. 2nd Air Division aerial interdiction effort targeted against the infiltration of NVA men and material moving south from North Vietnam,southeasternLaos,,
1965,May 31 – Jun 3,Unnamed[8],"173rd Airborne Brigade Combat Teamfirst brigade sized operation inVietnam, a series of airmobile assaults","nearBien Hoa,Biên Hòa Province",7,
1965,Jun 18 – Aug 15 1973,Operation Arc Light[9],B-52 Stratofortressbombing campaign against communist base areas,throughout South Vietnam,,
1965,Jun 27–30,Unnamed[10],"173rd Airborne Brigade Combat Teamfirst major offensive action by launching an operation, along with ARVN airborne units and1st Battalion, Royal Australian Regiment, into War Zone ""D"", about 32 km northeast ofSaigon",Long Khánh Province,,
1965,Jul 6–9,Operation 17-65[1],173rd Airborne Brigadeoperation,Phước Thành Province,,
1965,Jul 6–10,Unnamed[11][12],"173rd Airborne Brigade Combat Team,1st Battalion, Royal Australian Regimentand ARVN43rd Regimentoperation involving multiple air assaults into War Zone ""D"" just north of theĐồng Nai River",Long Khánh Province,,
1965,Jul 8 – Aug 19,Operation Than Phong II[13],ARVN II Corps operation to reopenRoute 19,,,349
1965,Jul 28,Operation Lien Ket 4[1],"2nd Battalion, 4th Marines, ARVN 51st Regiment andVNMC 3rd Battalionfirst combined land operation in the war",,,
1965,Jul 28 – Aug 2,Operation 19-65[1][12],"173rd Airborne Brigadeand1st Battalion, Royal Australian Regimentoperation to disrupt VC movement from theRung Sat Special ZoneintoPhước Tuy Province",Phước Tuy Province,,
1965,Aug 2 -3,Operation Blast Out[14],"1st Battalion, 3rd Marinesand ARVN 4th Regiment first search and clear operation in Cam Ne village. The operation was filmed by a CBS news crew who showed the Marines setting fire to Vietnamese huts with theirZippolighters","16 km southwest ofDa Nang,Quảng Nam Province",7,
1965,Aug 3,Operation Dan Thang 5[15],"52nd Aviation Battalionoperation to lift 1,150 troops in six lifts fromCamp HollowaytoDuc Coairfield during theSiege of Duc Co",PleikuProvince,,
1965,Aug 4–5,Operation Marble Mountain[1],USMC search and destroy operation,I Corps,,
1965,Aug 6–7,Operation Thunderbolt[16],4th Marinesand ARVN 51st Regiment joint search and destroy operation against the 1st VC Regiment,south of the Tra Bong River,,
1965,Aug 7–11,Operation Frag Order 12-65[1],"173rd Airborne Brigadeand1st Battalion, Royal Australian Regimentsearch and destroy operation",Phước Thành Province,,
1965,Aug 7–11,Operation Frag Order 15-65[1][12],"173rd Airborne Brigadeand1st Battalion, Royal Australian Regimentsearch and destroy operation",Biên Hòa Province,,
1965,Aug 10–11,Operation Binh Dinh[1],USMCsearch and destroy operation,II Corps,,
1965,Aug 10–21,Unnamed[17],"1st Brigade,101st Airborne Divisionoperation",southwest ofNha Trang,,
1965,Aug 11 – Sep 8,Operation Barracuda[1][18],"2nd Brigade,1st Infantry Division, the newly arrived 1st Brigade,101st Airborne Divisionand 1st Battalion,18th Infantrysearch and destroy operation","19 km west ofNha Trang,Khánh Hòa Province",25,
1965,Aug 12,Operation Midnight[19],3rd Marinessearch and destroy mission,"Elephant Valley, about 16 km northwest ofDa Nang,Quảng Nam Province",2,
1965,Aug 16–17,Operation Anvil[1],Search and destroy operation,III Corps,,
1965,Aug 17–24,Operation Starlite/Operation Starlight[20],"2nd Battalion 4th Marines,3rd Battalion 4th Marines,3rd Battalion 3rd Marinesand3rd Battalion 7th Marinesoperation","Van Tuong peninsula (south ofChu Lai),Quảng Trị Province",700,242
1965,Aug 19–22,Operation Cutlass[1],"1st Brigade,101st Airborne Divisionand5th Special Forces Groupsearch and destroy operation",south ofNha Trang,,
1965,Aug 25 – Oct 1,Operation Highland[1],"1st Brigade,101st Airborne Divisionand2nd Battalion, 7th Marinesroute security operation to openRoute 19betweenQui NhơnandAn Khefor debarkation and deployment of the1st Cavalry Division",Bình Định Province,692,21
1965,Aug 25 – Sep 10,Operation Quin Thang 165[21],"ARVN road clearing operation.21st TASSFACs fromQui Nhơndirected fiftyA-1Estrikes, fourF-100strikes and oneB-57strike, against constant ground fire, ambushes and automatic weapons fire for sixteen days.",,,
1965,Aug 28 – Sep 3,Operation Than Phong III[21],"ARVN II Corps operation to openRoute 21toBan Me ThuotfromNha Trang. One hundred and thirteen air strikes were conducted by the USAF, Navy and Marines.",Route 21,,
1965,Sep 1,Operation Talon[22],"1st Brigade,101st Airborneoperation","An Khe Pass,Bình Định Province",,
1965,Sep 1,Unnamed[23],"1st Battalion,503rd Infantryand supporting elements operation","nearKon Tum,Kon Tum Province",,
1965,Sep 4,Operation Venture[22],"1st Brigade,101st Airborneoperation","An Khearea,Bình Định Province",,
1965,Sep 5–7,Operation Stomp[24],"2nd Battalion, 7th Marinessearch and destroy operation","Ky Son Mountains, 16 km north ofQui Nhơn,Bình Định Province",26,
1965,Sep 6–9,Operation Tam Thang 118[21],ARVN II Corps operation,nearBan Me Thout,,
1965,Sep 7,Operation Bayonet[22],"1st Brigade,101st Airborneoperation as part ofOperation Highland","An Khearea,Bình Định Province",,
1965,Sep 7–10,Operation Piranha[25],"BLT1st Battalion, 7th Marines,3rd Battalion, 3rd Marinesand3rd Battalion, 7th Marinesand ARVN 2d Battalion, 4th Regiment and 3rd Vietnamese Marine Battalion operations on theBatangan PeninsulaandAn Ky Peninsulaaimed at the remnants of the 1st VC Regiment and to counter seaborne infiltration",BatanganandAn Ky Peninsulas,183,"2 Marines, 5 ARVN"
1965,Sep 7 - Oct 8,Operation BIG RED[26],"173rd Airborne Brigade,1st Battalion, 1RAR,Search & Destroy Operation, inBen Cat,Phuoc Vinh,Di An,Phu Loc",,,
1965,Sep 9,Operation Cacti[22],"1st Brigade,101st Airborneoperation as part ofOperation Highland","An Khearea,Bình Định Province",,
1965,Sep 10,Operation Than Phong IV[21],ARVN II Corps operation,nearQui Nhơn,,
1965,Sep 10–11,Operation Cold Steel[1],US search and destroy operation,II Corps,,
1965,Sep 13–14,Operation Cactus[1],US search and destroy operation,II Corps,,
1965,Sep 14–28,Unnamed[23],173rd Airborne Brigade Combat Teamsearch and destroy operation,"Ben Cat,Biên Hòa Province",46,
1965,Sep 14–28,Operation 24-65[1][12],"173rd Airborne Brigadeand1st Battalion, Royal Australian Regimentsearch and destroy operation",Bình Dương Province,,
1965,Sep 18–22,Operation Gibralter[27],"1st Brigade,101st Airborne Division,1st Cavalry Divisionand ARVN operation",Qui Nhơn,,
1965,Sep 21 – 1968,Operation Shining Brass[28],"A series of cross-border reconnaissance and intelligence operations conducted by mixed Special Forces andMontagnardteams to counter NVA infiltration throughLaosinto South Vietnam, perform bomb damage assessment, and control airstrikes. Shining Brass was renamedPrairie Firein 1968 and finallyPhu Dungon 8 April 1971",eastern Laos,,
1965,Sep 22 – Oct 19,Operation Good Friend[1],"2nd Battalion,502nd Airborne Infantry Regimentrelief of 1st Battalion,18th Infantry RegimentatCam Ranh Bayand securing the area for the arrival of theROK 2nd Marine Brigade",Cam Ranh Bay,,
1965,Sep 26–27,Operation Hard Rock[1],USMC search and destroy operation,I Corps,,
1965,Sep 28 – Nov 13,Operation Sayonara[1],"1st Brigade,101st Airborne Divisionand2nd Battalion, 7th Marinesarea and route security operation to cover the deployment of theROK Capital Division","Qui Nhơn,Bình Định Province",,
1965,Sep 29 – Oct 25,Operation Red One[1],"2nd Battalion,18th Infantry Regimentsearch and destroy and area security operation",Biên Hòa Province,,
1965,Oct,Operation Phu Yen 7[1],ARVN rice harvest operation,nearTuy Hòa,,
1965,Oct,Operation Spread Out[1],"2nd Battalion, 7th Marinessearch and destroy operation","Vân Canh Valley,Bình Định Province",,
1965,Oct 1,Operation Checkerboard I[1],"2nd Battalion,16th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 1–9,Operation Blue Bonnet[1],3/1 Cavalrysecurity operation,"Route 19,Bình Định Province",,
1965,Oct 1 – Nov 13,Operation Good Friend II[1],"1st Brigade,101st Airborne Division,1st Cavalry Division,2nd Battalion, 7th MarinesandARVN 22nd Divisionoperation in the vicinity ofQui Nhơnto secure the area for the arrival of theROK Capital Division",Qui Nhơn,,
1965,Oct 2–4,Operation Quick Draw[1],"3rd Battalion, 7th Marinessearch and destroy operation",Quảng Ngãi Province,,
1965,Oct 4–6,Operation Xray I[1],173rd Airborne Brigadesearch and destroy operation,Biên Hòa Province,,
1965,Oct 4–25,Operation Hopscotch[1],"2nd Brigade,1st Infantry Divisionsearch and destroy and security operation",Biên HòaandBình Dương Provinces,12,
1965,Oct 8–14,Operation Iron Triangle[1][12],"1st and 2nd Battalion,503rd Airborne Regimentand1st Battalion, Royal Australian Regimentsearch and destroy operation following one of the firstB-52strikes of the war","Iron Triangle,Bình Dương Province",,8
1965,Oct 9 – Nov 1,Operation Cobra[1],2/1 Cavalrysecurity operation alongRoute 19,Bình Định Province,,
1965,Oct 10–14,Operation Concord[1],3/1 Cavalrysearch and destroy operation,Bình Định Province,,
1965,Oct 10–12,Operation Shiny Bayonet[1],1st Cavalry DivisionandRepublic of Vietnam Marine Corpsoperation in theSaui Ca Riverto trap elements of the NVA325th Division,"nearAn Khe,Bình Định Province",,
1965,Oct 10–31,Operation Happy Valley[1],"1st Battalion,5th Cavalry Regimentpacification operation","""Happy Valley"" inBình Định Province",,
1965,Oct 13,Operation Black Lion[1],"2nd Battalion,28th Infantrysearch and destroy operation",Bình Dương Province,,
1965,Oct 14,Operation Checkmate[1],"2nd Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 14–17,Operation Lonesome End[1],1/1 Cavalryroute and area security operation,Bình Định Province,,
1965,Oct 15,Operation Flip Flop[1],"1st Battalion,16th Infantry Regimentsearch and destroy and security operation",Bình Dương Province,,
1965,Oct 16,Operation Depth[1],"2nd Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 16,Operation Fly Low[1],"1st Battalion,16th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 16 – Nov 1,Operation Settlement[1],2/1 Cavalrysecurity operation onRoute 19,Bình Định Province,,
1965,Oct 17,Operation Bushmaster Bravo[1],3rd Brigade1st Infantry Divisionsearch and destroy operation,Bình Dương Province,,
1965,Oct 18–19,Operation Triple Play[1],"3rd Battalion, 3rd Marinessearch and destroy operation",Quảng Tín Province,,
1965,Oct 18–24,Operation Trail Blazer[1],3rd Reconnaissance Battalionreconnaissance operation,Quảng Nam Province,,
1965,Oct 18–24,Operation Trail Boss[1],2/1 Cavalrysearch and destroy operation,,,
1965,Oct 19,Operation Hot Foot[1],"2nd Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 19,Operation Ranger I[1],"1st Battalion,16th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 20 – Nov 7,Operation Indian Scout[1],1/1 Cavalrysecurity operation for the movement of theROK Capital Divisioninto itsTactical Area of Responsibility,Bình Định Province,,
1965,Oct 21–27,Operation New One[1],173rd Airborne Brigadeclear and secure operation,Bình Dương Province,,
1965,Oct 21–29,Operation Dan Thang 21[29],11th Armored Cavalry Regimentoperation,Pleiku Province,317,11
1965,Oct 22–25,Operation Red Snapper[30],"2nd Battalion, 3rd Marinesand3rd Battalion, 4th Marinesand two ARVN Battalions, one ARVNRanger Battalion, and fourRegional Force/Popular Forcecompanies operation",Phu Gia Peninsula36 km north ofDa Nang,7,
1965,Oct 23–26,Operation 27-65[1][12],"1st Battalion, Royal Australian Regimentsearch and destroy operation",Biên Hòa Province,,
1965,Oct 23 – Nov 20,Operation Silver Bayonet[31],"1st Cavalry Divisionand a large ARVN force combined operation to seek out and destroy the NVA 320th, 33rd, and 66th regiments concentrated in western Pleiku","Ia Drang Valley,Pleiku Province","1,771",240
1965,Oct 24,Operation Revenger[1],"1st Battalion,6th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 24 – Nov 26,Operation All the Way[1],1/1 Cavalryoperation,nearPleiku,,
1965,Oct 24 – Nov 26,Operation Long Reach[1],"1/1 Cavalry(Operation All The Way),2/1 Cavalry(Operation Silver Bayonet II) and3/1 Cavalry(Operation Silver Bayonet I) search and destroy operation and relief ofPlei MeCIDGcamp",Pleiku Province,,
1965,Oct 26,Operation Big Horn[1],"3rd Brigade,1st Infantry Divisionsearch and destroy operation",Bình Dương Province,,
1965,Oct 27,Operation Drum Head[1],"3rd Battalion, 7th Marinessearch and destroy operation",Quảng Ngãi Province,,
1965,Oct 28–29,Operation Triple Trouble[1],"1st Battalion,16th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Oct 29–31,Operation Lien Ket 10[32],"2nd Battalion, 4th Marinesand 3rd Battalion, 6th RegimentARVN 2nd Divisionoperation against the VC Do Xa base area",20 km west ofChu Lai,,
1965,Nov 1,Operation Binder I[1],"3rd Brigade,1st Infantry Divisionsearch and destroy operation",Bình Dương Province,,
1965,Nov 1–2,Operation Quyet Thang 172[33],"ARVN 22nd Division, 1st Aviation Battalion, 52nd Aviation Battalion,119th Aviation, and the Marine Helicopter Squadron fromQui Nhơnoperation to secure the rice richTuy HòaValley",Phú Yên Province,,
1965,Nov 1–20,Operation Custer Flats[1],"2nd Battalion,18th Infantry Regimentsearch and destroy operation",Biên Hòa Province,,
1965,Nov 1 – Dec 8,Operation Viper I[1],"2nd Battalion,16th Infantry Regimentand 1st and 2nd Battalions,18th Infantry Regimentsearch and destroy operation",Biên Hòa Province,18,
1965,Nov 1 – Jan 17 1966,Operation Dagger One[1],"2nd Battalion,16th Infantry Regimentand 1st and 2nd Battalions,18th Infantry Regimentsearch and destroy operation",Biên Hòa Province,,
1965,Nov 2,Operation Binder II[1],"3rd Brigade,1st Infantry Divisionsearch and destroy operation",Bình Dương Province,,
1965,Nov 3–5,Operation Black Ferret[34],"1st Battalion, 7th Marinesand3rd Battalion, 7th Marinesand 4th Regiment ARVN2nd Divisionsearch and destroy operation. CorrespondentDickey Chapellewas killed by a mine booby-trap on this operation.","16 km south ofChu Lai,Quảng Ngãi Province",2,"1 Marine, 1 correspondent"
1965,Nov 3–8,Operation Copperhead[1],"1st Battalion,18th Infantry Regimentsearch and destroy operation",Biên HòaandLong Khánh Provinces,,
1965,Nov 5–9,Operation Hump[12],"173rd Airborne Brigadeand1st Battalion, Royal Australian Regimentoperation",northwestBiên Hòa Province,416,48 US 2 Australian
1965,Nov 7,Operation Binder III[1],"3rd Brigade,1st Infantry Divisionsearch and destroy operation",Bình Dương Province,,
1965,Nov 7–10,Operation Blue Marlin[35],"BLT2nd Battalion 7th Marines,3rd Battalion 3rd Marines,VNMCamphibious operation","nearTam Ky,Quảng Tín Province",25,2
1965,Nov 8,Operation Binder IV[1],"3rd Brigade,1st Infantry Divisionand1st Battalion, 16th Infantrysearch and destroy operation",Bình Dương Province,,
1965,Nov 8–14,Operation Lightning[1],ROK 2nd Marine Brigadeoperation,Khánh Hòa Province,,
1965,Nov 10–13,Operation Hop Out[1],"1st Battalion,7th Cavalry Regimentsearch and destroy operation",,,
1965,Nov 10–15,Operation Road Runner[1],"3rd Brigade,1st Infantry Divisionroad clearing and security operation alongRoute 13","north ofBến Cát District,Bình Dương Province",,
1965,Nov 14–15,Operation Corn[1],"1st Battalion,12th Cavalry Regimentsearch and destroy operation",Bình Định Province,,
1965,Nov 14–22,Operation Bushmaster I[1],3rd Brigade1st Infantry Divisionsearch and destroy operation,"south of theMichelin Rubber Plantation,Bình Dương Province",245,
1965,Nov 15,Operation New Life[1][36],"173rd Airborne Brigade Combat Team,1st Infantry Divisionand10th Divisionrice harvest security",Bien HoaandBinh Tuy Provinces,,
1965,Nov 15–16,Operation Docket I[1],"1st Battalion,2nd Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Nov 16–19,Operation Blue Marlin II[35],"BLT3rd Battalion, 3rd Marinesamphibious operation tying in with two ARVNRanger Battalions",35 km south ofDa Nang,25,2 ARVN
1965,Nov 18,Operation Road Runner II[1],"3rd Brigade,1st Infantry Divisionsecurity operation",Bình Dương Province,,
1965,Nov 20,Operation Road Runner III[1],"3rd Brigade,1st Infantry Divisionsecurity operation",Bình Dương Province,,
1965,Nov 20–26,Operation Silver Bayonet II[1],2/1 Cavalrysearch and destroy operation,"Plei Me,Pleiku Province",,
1965,Nov 22,Operation Road Runner IV[1],"3rd Brigade,1st Infantry Divisionsecurity operation",Bình Dương Province,,
1965,Nov 22–24,Operation Song Ve 6[1],"3rd Battalion, 7th Marines,3rd VNMC BattalionandARVN 11th and 37th Ranger Battalionsoperation",Quảng Ngãi Province,,
1965,Nov 22–25,Operation Turkey Shoot[1],"1st Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Nov 27,Operation Rabbit Hunt[1],"2nd Battalion,2nd Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Nov 28 – Dec 9,Operation Bushmaster II[37],3rd Brigade1st Infantry Divisionsearch and destroy operation,Bình Dương Province,318,44
1965,Nov 28 – Dec 16,Operation Checkerboard II[1],"1st Brigade,101st Airborne Divisionsearch and destroy operation",,,
1965,Nov 30 – Dec 1,Operation Riviera[1],"1st Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Dec 3–7,Operation Ox Trail[1],"2/1 Cavalryand 2nd Battalion,12th Cavalry Regimentsearch and destroy operation",Bình Định Province,,
1965,Dec 6,Operation Give Up[1],"2nd Battalion,5th Cavalry Regimentreconnaissance operation",Bình Định Province,,
1965,Dec 6,Operation Gladiator[1],"2nd Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Dec 6–9,Operation Charger Sweep[1],1/1 Cavalrysearch and destroy operation,Quảng Trị Province,,
1965,Dec 7–18,Operation Feline[1],"1st Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Dec 8 – Nov 11 1968,Operation Tiger Hound[38],"U.S. 2nd Air Division operation to interdict theHo Chi Minh Trailin the lower portion of the Laotian panhandle, fromRoute 9west of theDMZ, south to the Cambodian border and to reduce North Vietnamese infiltration down the trail into South Vietnam",Southeastern Laos,,
1965,Dec 9–15,Operation Sweeping Mustang[1],1/1 Cavalrysearch and destroy operation,II Corps,,
1965,Dec 9–16,Operation Bushmaster III,1st Brigade101st Airborne Divisionsearch and destroy operation,Bình Dương Province,,
1965,Dec 9–20,Operation Harvest Moon[39],"2nd Battalion, 7th Marines3rd Battalion, 3rd Marines, ""Lima"" and ""Echo""2nd Battalion, 9th Marines, and ""Golf"" Company2nd Battalion, 4th Marinesand 3rd Battalion, 1st ARVN Regiment, 1st Battalion, 5th ARVN Regiment, 1st Battalion, 6th ARVN Regiment andARVN 11th Ranger Battalionoperation","37 km NW ofChu LaiinPhuoc HaandQue Son Valley's,Quảng Tín Province",408,45 US 90 ARVN
1965,Dec 9–20,Operation Lien Ket 18[40],ARVN participation inOperation Harvest Moon,"Thang Binh,Quảng Tín Province",75,11
1965,Dec 10–14,Operation Fish Hook I[1],2/1 Cavalrysearch and destroy operation,Bình Định Province,,
1965,Dec 10–22,Operation Quick Kick[1],1/1 Cavalrysecurity operation,PleikuandKon Tum Provinces,,
1965,Dec 11,Operation Frisk I[1],"1st Battalion,28th Infantry Regimentsearch and destroy operation",Bình Dương Province,,
1965,Dec 14–16,Operation Fish Hook II[1],2/1 Cavalrysearch and destroy operation,Bình Định Province,,
1965,Dec 14 – Jan 17 1966,Operation Viper II[1],"2nd Battalion,18th Infantry Regimentsearch and destroy operation",Biên Hòa Province,18,
1965,Dec 16–19,Operation Clean House I[1],3/1 Cavalrysearch and destroy operation,Bình Định Province,"1,400",
1965,Dec 17,Operation Frisk II[1],"1st Battalion,28th Infantry Regimentreconnaissance operation",Bình Dương Province,,
1965,Dec 17,Operation Fulton[1],1st Cavalry Divisionsearch and destroy operation,"Khánh Hòa,Tuyen DocandNinh Thuận Provinces",,
1965,Dec 17–20,Operation Scalping Mustang[1],"1st Battalion,8th Cavalry Regimentsearch and destroy operation",Bình Định Province,,
1965,Dec 17–21,Operation Beaver I[1],"3rd Brigade,1st Infantry Divisionroad clearing and security operation",III Corps,,
1965,Dec 17–22,Operation Smash[36],"173rd Airborne Brigadeand 2nd Brigade,1st Infantry Divisionsearch and destroy operation","Courtenay Rubber Plantation,Biên Hòa Province",73,
1965,Dec 18 – 1972,Operation Game Warden[41],U.S. riverine patrol operation to deny Viet Cong access to the resources in theMekong Delta,Mekong Delta,1000,39
1965,Dec 19–20,Operation Jingle Bells[1],"1st Battalion,28th Infantry Regimentsearch and destroy operation",III Corps,,
1965,Dec 19–22,Operation Clean House II[1],3/1 Cavalrysearch and destroy operation,Bình Định Province,,
1965,Dec 23–26,Operation Cherokee Trail[1],1/1 Cavalryroad security operation alongRoute 19,"Bình Định,Kon TumandPleiku Provinces",,
1965,Dec 23 – Jan 23 66,Operation Blue Light[1],60thand61st Military Airlift Wingsairlift of the25th Infantry DivisionfromHawaiitoPleiku,Pleiku,,
1965,Dec 27,Operation Hoa Xuan[1],"1st Battalion, 4th Marinessearch and destroy operation",Hoa Xuanisland,,
1965,Dec 27–31,Operation Clean House III[1],3/1 Cavalrysearch and destroy operation,Bình Định Province,,
1965,Dec 28–30,Operation Take Out[1],"2nd Battalion,327th Airborne Infantry Regimentrecovery of US remains from a crashedAC-47 Spookyserial number 43-49492",Bình Thuận Province,,
1965,Dec 31,Operation Rebel Rouser[1],"3rd Brigade,1st Infantry Divisionroad clearing and security operation onRoute 13",Bình Dương Province,,
